brand,model,year,transmission,mileage,fuelType,engineSize
vw, Scirocco,2017,Manual,44081,Petrol,2.0
ford, Galaxy,2016,Automatic,24664,Diesel,2.0
bmw, 7 Series,2019,Automatic,7414,Diesel,3.0
vw, Tiguan Allspace,2020,Semi-Auto,2334,Petrol,1.5
ford, Grand C-MAX,2018,Manual,21384,Petrol,1.0
skoda, Rapid,2014,Semi-Auto,40468,Petrol,1.4
merc, V Class,2018,Automatic,15232,Diesel,2.1
vw, Caravelle,2019,Semi-Auto,6280,Diesel,2.0
vw, Shuttle,2018,Semi-Auto,16203,Diesel,2.0
ford, Galaxy,2017,Manual,35495,Diesel,2.0
merc, M Class,2013,Automatic,84000,Diesel,2.1
ford, Grand C-MAX,2017,Manual,11373,Petrol,1.0
vauxhall, Combo Life,2019,Manual,7300,Petrol,1.2
ford, Tourneo Custom,2017,Manual,33650,Diesel,2.0
bmw, Z4,2019,Automatic,467,Petrol,2.0
audi, RS5,2019,Automatic,2000,Petrol,2.9
skoda, Rapid,2017,Manual,33599,Diesel,1.6
ford, Edge,2016,Manual,27500,Diesel,2.0
ford, Grand C-MAX,2017,Manual,25243,Diesel,1.5
vw, Scirocco,2015,Manual,90000,Diesel,2.0
ford, Grand Tourneo Connect,2016,Manual,30000,Diesel,1.5
vw, Arteon,2019,Manual,100,Diesel,2.0
toyota, GT86,2017,Manual,14345,Petrol,2.0
toyota, Hilux,2018,Automatic,16734,Diesel,2.4
merc, GLS Class,2017,Automatic,26452,Diesel,3.0
audi, A7,2017,Semi-Auto,34132,Diesel,3.0
skoda, Rapid,2017,Manual,32657,Diesel,1.6
vw, Arteon,2019,Automatic,7865,Diesel,2.0
vw, Tiguan Allspace,2019,Semi-Auto,5000,Diesel,2.0
vw, Shuttle,2019,Manual,3615,Diesel,2.0
toyota, Prius,2018,Automatic,20252,Hybrid,1.8
ford, KA,2018,Manual,5007,Petrol,1.2
skoda, Rapid,2016,Manual,49093,Diesel,1.6
hyundi, Santa Fe,2016,Manual,10200,Diesel,2.2
toyota, Verso,2017,Automatic,33989,Other,1.8
skoda, Scala,2020,Manual,5234,Petrol,1.0
audi, A8,1997,Automatic,122000,Petrol,4.2
hyundi, IX20,2016,Manual,28500,Petrol,1.4
ford, Grand Tourneo Connect,2015,Manual,54429,Diesel,1.6
hyundi, Santa Fe,2018,Manual,21588,Diesel,2.2
merc, S Class,2019,Semi-Auto,4688,Petrol,4.0
merc, GLB Class,2020,Semi-Auto,29,Diesel,2.0
merc, M Class,2013,Automatic,51800,Diesel,2.1
bmw, 7 Series,2019,Semi-Auto,706,Diesel,3.0
audi, Q8,2019,Automatic,945,Diesel,3.0
merc, GL Class,2015,Automatic,42073,Diesel,2.1
merc, X-CLASS,2019,Automatic,39,Diesel,2.3
bmw, X7,2019,Semi-Auto,17561,Petrol,3.0
audi, RS6,2015,Automatic,24987,Petrol,4.0
skoda, Yeti,2013,Manual,67235,Diesel,2.0
ford, Edge,2017,Semi-Auto,20045,Diesel,2.0
bmw, M4,2017,Automatic,5735,Petrol,3.0
ford, Edge,2017,Semi-Auto,41726,Diesel,2.0
vauxhall, GTC,2016,Automatic,44310,Petrol,1.4
ford, Edge,2017,Manual,22922,Diesel,2.0
vauxhall, Combo Life,2019,Manual,17957,Diesel,1.5
merc, S Class,2015,Automatic,46757,Diesel,3.0
audi, Q8,2019,Semi-Auto,4488,Diesel,3.0
toyota, Verso,2016,Semi-Auto,13992,Petrol,1.8
merc, SLK,2001,Automatic,48172,Petrol,2.3
ford, KA,2018,Manual,10691,Petrol,1.2
ford, Galaxy,2017,Manual,32750,Diesel,2.0
vw, Arteon,2019,Automatic,1000,Diesel,2.0
vw, Beetle,2013,Manual,38333,Petrol,2.0
toyota, Prius,2013,Automatic,58852,Other,1.8
vw, Amarok,2018,Automatic,5673,Diesel,3.0
skoda, Rapid,2015,Manual,28301,Petrol,1.2
hyundi, Santa Fe,2020,Semi-Auto,6000,Diesel,2.2
merc, S Class,2015,Semi-Auto,29036,Diesel,3.0
vw, Scirocco,2017,Automatic,34203,Diesel,2.0
toyota, Avensis,2016,Manual,29535,Diesel,1.6
bmw, M5,2012,Automatic,51000,Petrol,4.4
ford, Grand C-MAX,2017,Manual,4040,Petrol,1.0
hyundi, IX20,2017,Manual,10279,Petrol,1.4
vw, Scirocco,2017,Manual,24481,Diesel,2.0
vw, Amarok,2019,Automatic,6898,Diesel,3.0
vw, Scirocco,2016,Manual,17141,Diesel,2.0
vw, Arteon,2019,Automatic,6000,Diesel,2.0
vw, Amarok,2018,Automatic,13764,Diesel,3.0
ford, Galaxy,2016,Automatic,35646,Diesel,2.0
ford, KA,2013,Manual,17427,Petrol,1.2
skoda, Yeti,2017,Manual,19956,Diesel,2.0
ford, Galaxy,2016,Manual,27315,Diesel,2.0
toyota, Prius,2017,Automatic,9891,Hybrid,1.8
vw, Beetle,2016,Manual,21930,Petrol,1.2
merc, CLA Class,2020,Automatic,3600,Petrol,2.0
ford, Tourneo Custom,2019,Manual,1410,Diesel,2.0
toyota, Prius,2018,Automatic,59191,Other,1.8
ford, Galaxy,2016,Manual,23300,Diesel,2.0
vw, Caravelle,2011,Automatic,86000,Diesel,2.0
merc, GLS Class,2019,Automatic,11607,Diesel,3.0
ford, Grand Tourneo Connect,2017,Manual,4856,Diesel,1.5
toyota, Prius,2018,Automatic,10549,Hybrid,1.8
hyundi, Santa Fe,2017,Semi-Auto,12957,Diesel,2.2
bmw, X4,2019,Semi-Auto,6449,Diesel,3.0
merc, V Class,2017,Semi-Auto,41298,Diesel,2.2
bmw, X4,2019,Automatic,2188,Petrol,3.0
toyota, Prius,2019,Automatic,3982,Hybrid,1.8
toyota, Prius,2016,Automatic,48297,Hybrid,1.8
vauxhall, GTC,2015,Manual,32160,Petrol,1.6
audi, RS3,2017,Automatic,38000,Petrol,2.5
vw, Tiguan Allspace,2019,Automatic,7971,Diesel,2.0
merc, V Class,2019,Manual,5000,Diesel,2.1
audi, Q8,2020,Automatic,3522,Diesel,4.0
vw, Beetle,2017,Manual,30456,Diesel,2.0
bmw, 6 Series,2017,Automatic,23954,Petrol,3.0
ford, Tourneo Custom,2017,Manual,23838,Diesel,2.0
ford, Galaxy,2016,Manual,87180,Diesel,2.0
bmw, X4,2017,Semi-Auto,18441,Diesel,2.0
skoda, Kamiq,2019,Manual,458,Petrol,1.0
hyundi, Santa Fe,2019,Semi-Auto,5883,Diesel,2.2
bmw, X4,2019,Semi-Auto,1852,Diesel,3.0
vw, Amarok,2017,Automatic,25624,Diesel,3.0
ford, Edge,2018,Semi-Auto,12815,Diesel,2.0
vauxhall, Zafira Tourer,2017,Manual,21000,Diesel,1.6
vw, Caddy Life,2020,Manual,1700,Diesel,2.0
audi, RS3,2020,Automatic,10,Petrol,2.5
bmw, X4,2019,Semi-Auto,7414,Diesel,2.0
ford, KA,2013,Manual,22995,Petrol,1.2
ford, Grand C-MAX,2016,Manual,34883,Diesel,2.0
vw, Scirocco,2018,Manual,30532,Diesel,2.0
ford, Mustang,2019,Automatic,1055,Petrol,5.0
bmw, 7 Series,2020,Semi-Auto,3500,Diesel,3.0
toyota, Prius,2010,Automatic,67000,Hybrid,1.8
audi, A7,2019,Automatic,15302,Diesel,2.0
ford, Galaxy,2016,Manual,33883,Diesel,2.0
toyota, Prius,2018,Automatic,44512,Hybrid,1.8
vw, Scirocco,2016,Manual,32526,Petrol,1.4
vw, Shuttle,2019,Semi-Auto,10000,Diesel,2.0
vw, CC,2016,Automatic,54355,Diesel,2.0
bmw, Z4,2019,Semi-Auto,7363,Petrol,2.0
merc, CLS Class,2013,Semi-Auto,64777,Diesel,3.0
merc, CLS Class,2019,Semi-Auto,7301,Diesel,2.9
ford, KA,2013,Manual,33761,Petrol,1.2
audi, SQ5,2017,Automatic,27000,Petrol,3.0
hyundi, IX20,2018,Manual,3250,Petrol,1.6
skoda, Scala,2019,Manual,3501,Petrol,1.0
audi, RS5,2019,Semi-Auto,2469,Petrol,2.9
bmw, X4,2019,Semi-Auto,8515,Diesel,2.0
bmw, 6 Series,2020,Semi-Auto,11,Petrol,2.0
skoda, Rapid,2013,Manual,29750,Petrol,1.2
toyota, Prius,2013,Automatic,52217,Hybrid,1.8
ford, Edge,2017,Semi-Auto,25725,Diesel,2.0
skoda, Yeti,2017,Manual,13591,Petrol,1.2
ford, Edge,2017,Automatic,19039,Diesel,2.0
merc, SLK,2006,Automatic,75000,Petrol,3.5
skoda, Yeti,2014,Manual,43429,Diesel,1.6
merc, GLS Class,2018,Semi-Auto,41102,Petrol,5.5
hyundi, Santa Fe,2020,Semi-Auto,1801,Diesel,2.2
ford, KA,2016,Manual,30225,Petrol,1.2
skoda, Scala,2019,Semi-Auto,5000,Petrol,1.0
toyota, GT86,2014,Manual,39761,Petrol,2.0
skoda, Yeti,2015,Manual,32800,Diesel,2.0
bmw, 6 Series,2019,Semi-Auto,7994,Petrol,2.0
vw, Amarok,2019,Automatic,16898,Diesel,3.0
skoda, Kamiq,2019,Semi-Auto,1500,Petrol,1.5
ford, Grand Tourneo Connect,2015,Manual,30760,Diesel,1.6
merc, X-CLASS,2017,Automatic,11447,Diesel,2.3
skoda, Kamiq,2020,Manual,1500,Petrol,1.0
ford, Grand C-MAX,2017,Manual,8121,Petrol,1.0
hyundi, I800,2018,Automatic,34605,Diesel,2.5
hyundi, Santa Fe,2019,Semi-Auto,30,Diesel,2.2
skoda, Rapid,2017,Manual,23002,Petrol,1.2
merc, G Class,2017,Automatic,38247,Petrol,5.5
hyundi, IX20,2017,Manual,21354,Petrol,1.4
skoda, Scala,2019,Automatic,3500,Petrol,1.5
ford, Galaxy,2017,Semi-Auto,40838,Diesel,2.0
ford, Edge,2019,Automatic,4694,Diesel,2.0
vw, Caravelle,2019,Automatic,11163,Diesel,2.0
skoda, Rapid,2018,Manual,12231,Petrol,1.0
toyota, GT86,2014,Manual,25499,Petrol,2.0
ford, KA,2009,Manual,6000,Petrol,1.2
vw, Caravelle,2020,Semi-Auto,2000,Diesel,2.0
merc, GLB Class,2020,Semi-Auto,19,Diesel,2.0
hyundi, IX35,2014,Manual,53544,Diesel,2.0
toyota, Supra,2019,Automatic,10,Petrol,3.0
skoda, Yeti,2014,Manual,13593,Petrol,1.2
bmw, X4,2020,Semi-Auto,7724,Diesel,3.0
merc, GL Class,2017,Automatic,56316,Diesel,2.1
merc, S Class,2017,Semi-Auto,26699,Diesel,3.0
vw, Scirocco,2018,Manual,27885,Petrol,2.0
skoda, Rapid,2015,Manual,18926,Diesel,1.6
merc, CLS Class,2016,Automatic,17730,Diesel,3.0
hyundi, IX20,2014,Manual,42000,Petrol,1.4
hyundi, I40,2015,Manual,68969,Diesel,1.7
vw, Scirocco,2014,Manual,30000,Petrol,1.4
ford, Grand C-MAX,2016,Manual,30691,Petrol,1.0
ford, KA,2015,Manual,15296,Petrol,1.2
skoda, Yeti,2016,Semi-Auto,5002,Petrol,1.2
toyota, Avensis,2018,Manual,34505,Diesel,1.6
vw, Caravelle,2019,Semi-Auto,6000,Diesel,2.0
toyota, GT86,2017,Manual,6445,Petrol,2.0
bmw, M5,2019,Semi-Auto,4419,Petrol,4.4
merc, GL Class,2015,Automatic,31112,Diesel,3.0
vw, CC,2016,Manual,18141,Diesel,2.0
skoda, Rapid,2017,Manual,18325,Petrol,1.0
skoda, Rapid,2018,Manual,15006,Petrol,1.0
bmw, 8 Series,2019,Automatic,1616,Diesel,3.0
ford, KA,2016,Manual,13728,Petrol,1.2
vw, Scirocco,2016,Manual,30989,Petrol,2.0
